title,abstract
"Cancer statistics in China: Epidemiology, risk factors, and prevention.","Cancer is a leading cause of death in China, and its epidemiological profile has shifted markedly in recent years. This review summarizes contemporary trends in cancer incidence and mortality, delineates the major modifiable risk factors, and highlights recent national efforts to ease the burden of cancer. In 2022, China recorded 4.8 million new cancer cases (crude rate: 341.7 per 100,000) and 2.5 million cancer deaths (182.3 per 100,000). Lung, colorectal, thyroid, liver, stomach, and female breast cancers accounted for 65% of all diagnoses, while lung, liver, stomach, colorectal, and esophageal cancers constituted 67.5% of cancer deaths. Notable shifts in sex-specific rankings underscored the rising mortality burden of prostate, female breast, and cervical cancers. China has made measurable progress in cancer control. Between 2000 and 2018, the age-standardized mortality rate for all cancers declined by approximately 1.3% annually, and the age-standardized 5-year relative survival improved from 30.9% in 2003-2005 to 43.7% in 2019-2021. According to Global Burden of Disease (GBD) 2023, nearly half of cancer deaths and disability-adjusted life years (DALYs) were attributable to modifiable risk factors such as tobacco, air pollution, high alcohol use, dietary risks, and unsafe sex. In response, the government has implemented a suite of prevention-oriented policies, including expansion of human papillomavirus (HPV) vaccination, strengthened tobacco control, sustained air pollution reduction, enhanced health education, and broadened cancer screening coverage. Collectively, these initiatives demonstrate a sustained national commitment to reducing the cancer burden."
Bronchoalveolar Lavage as a Diagnostic Window into Human Exposure to Microplastics and Associated Lung Changes.,"Microplastics are emerging airborne pollutants increasingly implicated in respiratory health risks. Although ingestion has been widely studied, inhalation of microplastics and their potential pulmonary impact remain underexplored. Bronchoalveolar lavage (BAL) provides a minimally invasive diagnostic technique for detecting inhaled particles and assessing associated inflammatory changes. This cross-sectional study was conducted among 60 adult patients undergoing diagnostic bronchoscopy for non-infective pulmonary complaints. BAL fluid was collected and filtered to detect microplastics using polarized light microscopy and Fourier-transform infrared (FTIR) spectroscopy. Cytological examination and cytokine analysis (IL-6, TNF-α) were also performed. Data were statistically analyzed using SPSS v25, with significance set at  Microplastics were detected in 70% of BAL samples, with polyethylene and polypropylene being the most common types. The mean microplastic count was 6.4 ± 3.1 particles per 100 mL BALF. Individuals with detectable microplastics showed significantly higher macrophage (65.4% vs. 58.6%,  Bronchoalveolar lavage is a valuable tool for detecting pulmonary microplastic exposure and related inflammatory changes. These findings underscore the potential health risks posed by airborne microplastics and support the need for environmental and occupational health interventions."
Looking through the particles: a narrative review of air pollution and lung cancer.,"Air pollution, particularly fine particulate matter ≤2.5 µm (PM A systematic literature search was conducted in PubMed and Scopus using search terms related to PM PM There has been an increased incidence of lung cancer in patients who have never smoked and can be associated with the increase in air pollution, particularly PM"
IMPACT OF PM,"Wildfire-related air pollution represents an escalating health threat in the Brazilian Amazon, where fine particulate matter (PM"
Physical exercise mitigates the adverse effects of PM,"Physical exercise in polluted air involves a significant trade-off. However, the interaction effects and underlying mechanisms between PM"
Prior acute ozone injury dampens Th2 responses to subsequent repetitive ozone exposures in mice.,Ground-level ozone (O 
Epigenome-wide association study of household air pollution exposure in an area with high lung cancer incidence.,"Lung cancer incidence among never-smoking women in Xuanwei, China, is among the highest worldwide and is primarily attributed to household air pollution (HAP) from smoky (bituminous) coal combustion, with early-life exposure identified as playing a critical role. We conducted epigenome-wide DNA methylation (DNAm) analyses of HAP exposure and its polycyclic aromatic hydrocarbon (PAH) constituents across exposure windows. Leukocyte DNAm was measured in 106 never-smoking women, including 23 individuals with repeated measurements. Cooking fuel use and stove type was obtained through questionnaire, and comprehensive personal and environmental air monitoring was conducted. Validated exposure models estimated 43 HAP constituents, predominantly PAHs, across childhood, current, and cumulative exposure windows, and PAH clusters were derived via hierarchical clustering. Generalized estimating equations were used to identify CpG sites associated with HAP exposure and PAH clusters, including 5-methylchrysene, a methylated PAH previously linked to lung cancer. We identified several differentially methylated CpG sites, predominantly hypomethylated with higher HAP exposure. Although some DNAm signatures overlapped with those observed in smoking, the majority were distinct. Notably, higher current exposure to 5-methylchrysene was significantly associated with hypomethylation at cg05575921 (AHRR; p = 2.05x10"
"Global, regional, and national burden of chronic respiratory diseases and impact of the COVID-19 pandemic, 1990-2023: a Global Burden of Disease study.","Chronic respiratory diseases, including chronic obstructive pulmonary disease (COPD), asthma, pneumoconiosis, interstitial lung disease (ILD) and pulmonary sarcoidosis, are major global causes of mortality and morbidity. Although the COVID-19 pandemic has influenced acute respiratory health, its impact on chronic respiratory conditions remains unclear. We estimated the global, regional and national burden of chronic respiratory diseases from 1990 to 2023, including risk factors, and evaluated how these burdens have shifted during the COVID-19 pandemic using the Global Burden of Disease Study 2023. In 2023, chronic respiratory diseases accounted for 569.2 million (95% uncertainty interval (UI), 508.8-639.8) cases and 4.2 million (3.6-5.1) deaths. The age-standardized death rate declined by 25.7% globally from 1990 to 2023 despite an increase in ILD and pulmonary sarcoidosis. Mortality declined in younger males, especially for asthma, whereas older adults experienced a rise in ILD and pulmonary sarcoidosis. Smoking was the primary risk factor for COPD, whereas high body mass index and silica exposure were key risk factors for asthma and pneumoconiosis. During the pandemic, the incidence of chronic respiratory diseases increased modestly, but the decline in mortality rates became more pronounced, highlighting the need for sustained global attention and action to address their long-term burden."
"Mapping three decades of air pollution-lung cancer research: trends, hotspots, and networks (1990-2025).","The relationship between air pollution and lung cancer has attracted considerable attention from researchers worldwide. To systematically assess the scholarly landscape and pinpoint research fronts, this study employs bibliometric analysis to delineate global trends, collaborative networks, and key publications within this field. Publications from 1990 to 2025 were extracted from Web of Science Core Collection and Scopus databases. Bibliometric tools including VOSViewer, Citespace, and Bibliometrix R were used to examine trends, key contributors, research themes, and prominent journals. Among 4,238 publications, citation rates rose significantly. China produced the most publications, with leading institutions such as Harvard University and the Chinese Academy of Sciences. Key researchers included Lan Q, Rothman N, and Vermeulen R. Major journals were Environmental Health Perspectives and Atmospheric Environment. Frequently used keywords like ""Lung Cancer"" and ""Particulate Matter"" indicate core themes, while emerging terms such as ""Covid-19"" and ""Machine Learning"" reflect evolving interests. Fine particulate matter is an established environmental risk factor for lung cancer, and research on polycyclic aromatic hydrocarbons and asbestos remains active. The field has shifted from exposure assessment to mechanistic investigations focusing on oxidative stress, gene expression, and machine learning applications, defining key future research directions."
Effects of Air Pollution Exposure and the MUC5B rs35705950 Variant on Interstitial Lung Disease Risk in Patients With Rheumatoid Arthritis.,"Rheumatoid arthritis-associated interstitial lung disease (RA-ILD) and idiopathic pulmonary fibrosis share common risk factors, including the MUC5B promoter variant (rs35705950). We examined the contribution of air pollutants to ILD risk in an RA population and assessed the modifying effect of genetic susceptibility. This study included patients with RA who had undergone chest HRCT. MUC5B status was collected when available. Exposure levels to NO We included 594 patients with RA (mean age: 58 ± 12 years, 71% women, 44% current or ex-smokers), of whom 227 (38%) had ILD and 292 patients were genotyped for MUC5B rs35705950. Increased long-term exposure to NO Long-term exposure to air pollution is an independent risk factor for RA-ILD and its effect may be modified according to MUC5B rs35705950 genotype."
